"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"2","0.000239664","0.000239664","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","22016","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:22016 (Valid,Primary,Ok,Run)"
"4","0.006437560","0.000776480","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","22016","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:22016 (Valid,Primary,Ok,Run)"
"6","0.016240374","0.004188314","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","22528","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:22528 (Valid,Primary,Ok,Run)"
"8","0.024934760","0.003274010","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","22528","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:22528 (Valid,Primary,Ok,Run)"
"10","0.032241084","0.003636324","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","23040","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:23040 (Valid,Primary,Ok,Run)"
"11","0.037432690","0.005191606","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","23040","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:23040 (Valid,Primary,Ok,Run)"
"14","0.048241794","0.005625314","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","23552","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:23552 (Valid,Primary,Ok,Run)"
"16","0.054976170","0.001316080","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","23552","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:23552 (Valid,Primary,Ok,Run)"
"18","0.064242494","0.005593494","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","24064","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:24064 (Valid,Primary,Ok,Run)"
"20","0.070006670","0.000346910","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","24064","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:24064 (Valid,Primary,Ok,Run)"
"22","0.080243204","0.002589574","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","24576","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:24576 (Valid,Primary,Ok,Run)"
"24","0.086032330","0.000372900","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","24576","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:24576 (Valid,Primary,Ok,Run)"
"26","0.096243914","0.003996214","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","25088","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:25088 (Valid,Primary,Ok,Run)"
"27","0.101069640","0.004825726","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","25088","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:25088 (Valid,Primary,Ok,Run)"
"30","0.112244624","0.006028954","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","25600","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:25600 (Valid,Primary,Ok,Run)"
"31","0.117600600","0.005355976","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","25600","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:25600 (Valid,Primary,Ok,Run)"
"34","0.128245324","0.001919624","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","26112","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:26112 (Valid,Primary,Ok,Run)"
"36","0.135132080","0.001473640","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","26112","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:26112 (Valid,Primary,Ok,Run)"
"38","0.144246034","0.003440434","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","26624","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:26624 (Valid,Primary,Ok,Run)"
"40","0.154206580","0.004548470","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","26624","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:26624 (Valid,Primary,Ok,Run)"
"42","0.160246744","0.005429334","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","27136","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:27136 (Valid,Primary,Ok,Run)"
"44","0.170235280","0.004577500","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","27136","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:27136 (Valid,Primary,Ok,Run)"
"46","0.176247454","0.003897064","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","27648","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:27648 (Valid,Primary,Ok,Run)"
"48","0.186262060","0.004604610","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","27648","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:27648 (Valid,Primary,Ok,Run)"
"50","0.192248154","0.003847084","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","28160","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:28160 (Valid,Primary,Ok,Run)"
"51","0.196293410","0.004045256","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","28160","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:28160 (Valid,Primary,Ok,Run)"
"54","0.208248864","0.002257694","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","28672","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:28672 (Valid,Primary,Ok,Run)"
"56","0.213856730","0.000199950","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","28672","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:28672 (Valid,Primary,Ok,Run)"
"58","0.224249574","0.005299044","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","29184","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:29184 (Valid,Primary,Ok,Run)"
"60","0.231329650","0.001673200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","29184","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:29184 (Valid,Primary,Ok,Run)"
"62","0.240250274","0.005283144","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","29696","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:29696 (Valid,Primary,Ok,Run)"
"64","0.247400190","0.001744070","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","29696","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:29696 (Valid,Primary,Ok,Run)"
"66","0.256250984","0.006242324","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","30208","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:30208 (Valid,Primary,Ok,Run)"
"68","0.262834550","0.001178760","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","30208","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:30208 (Valid,Primary,Ok,Run)"
"70","0.272251694","0.005192074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","30720","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:30720 (Valid,Primary,Ok,Run)"
"72","0.280450830","0.002795370","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","30720","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:30720 (Valid,Primary,Ok,Run)"
"74","0.288252404","0.002170314","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","31232","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31232 (Valid,Primary,Ok,Run)"
"76","0.294963400","0.001308270","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","31232","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31232 (Valid,Primary,Ok,Run)"
"78","0.304253104","0.004149044","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","31744","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31744 (Valid,Primary,Ok,Run)"
"79","0.309018180","0.004765076","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","31744","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31744 (Valid,Primary,Ok,Run)"
"82","0.320253814","0.004108274","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","32256","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32256 (Valid,Primary,Ok,Run)"
"84","0.326026350","0.000371880","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","32256","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32256 (Valid,Primary,Ok,Run)"
