timestamp_sec,rel_time_s,throughput_mbps
1776262627,5,0.0017
1776262628,6,0.0017
1776262629,7,0.0017
1776262630,8,0.0017
1776262644,22,0.0036
1776262645,23,0.0036
1776262646,24,0.0036
1776262647,25,0.0036
1776262747,125,0.0017
1776262748,126,0.0017
1776262749,127,0.0017
1776262750,128,0.0017
1776262764,142,0.0036
1776262765,143,0.0036
1776262766,144,0.0036
1776262767,145,0.0036
1776262867,245,0.0017
1776262868,246,0.0017
1776262869,247,0.0017
1776262870,248,0.0017
1776262884,262,0.0036
1776262885,263,0.0036
1776262886,264,0.0036
1776262887,265,0.0036
1776262987,365,0.0017
1776262988,366,0.0017
1776262989,367,0.0017
1776262990,368,0.0017
1776263004,382,0.0036
1776263005,383,0.0036
1776263006,384,0.0036
1776263007,385,0.0036
