timestamp_sec,rel_time_s,throughput_mbps
1775833278,2,0.0433
1775833281,5,0.0433
1775833288,12,0.033
1775833289,13,0.0103
1775833295,19,0.0474
1775833298,22,0.0433
1775833303,27,0.033
1775833304,28,0.0103
1775833309,33,0.0433
1775833313,37,0.0433
1775833316,40,0.0433
1775833319,43,0.033
1775833320,44,0.0103
1775833322,46,0.0316
1775833323,47,0.0117
1775833328,52,0.0433
1775833332,56,0.0036
1775833333,57,0.0036
1775833334,58,0.0469
1775833335,59,0.0036
1775833336,60,0.0433
1775833342,66,0.0301
1775833343,67,0.0132
1775833347,71,0.0161
1775833348,72,0.0272
1775833351,75,0.0433
1775833354,78,0.0301
1775833355,79,0.0132
1775833358,82,0.033
1775833359,83,0.0103
1775833376,100,0.0433
1775833382,106,0.0433
1775833384,108,0.033
1775833385,109,0.0103
1775833388,112,0.0433
1775833391,115,0.0433
1775833396,120,0.033
1775833397,121,0.0103
1775833399,123,0.0433
1775833402,126,0.0404
1775833403,127,0.0029
1775833405,129,0.033
1775833406,130,0.0103
1775833411,135,0.031
1775833412,136,0.0232
1775833413,137,0.0232
1775833414,138,0.0232
1775833417,141,0.0433
1775833420,144,0.0161
1775833421,145,0.0272
1775833434,158,0.0433
1775833438,162,0.0433
1775833440,164,0.033
1775833441,165,0.0103
1775833443,167,0.033
1775833444,168,0.0103
1775833447,171,0.0433
1775833452,176,0.0366
1775833453,177,0.0139
1775833454,178,0.0036
1775833455,179,0.0036
1775833460,184,0.033
1775833461,185,0.0103
1775833464,188,0.0433
1775833467,191,0.0433
1775833474,198,0.0161
1775833475,199,0.0272
1775833482,206,0.0433
1775833488,212,0.033
1775833489,213,0.0103
