timestamp_sec,rel_time_s,throughput_mbps
1775834412,63,0.0036
1775834413,64,0.0036
1775834414,65,0.0036
1775834415,66,0.0036
1775834532,183,0.0036
1775834533,184,0.0036
1775834534,185,0.0036
1775834535,186,0.0036
1775834652,303,0.0036
1775834653,304,0.0036
1775834654,305,0.0036
1775834655,306,0.0036
1775834731,382,0.0041
1775834772,423,0.0036
1775834773,424,0.0036
1775834774,425,0.0036
1775834775,426,0.0036
1775834892,543,0.0036
1775834893,544,0.0036
1775834894,545,0.0036
1775834895,546,0.0036
1775835012,663,0.0036
1775835013,664,0.0036
1775835014,665,0.0036
1775835015,666,0.0036
1775835132,783,0.0036
1775835133,784,0.0036
1775835134,785,0.0036
1775835135,786,0.0036
