timestamp_sec,rel_time_s,throughput_mbps
1776437675,61,0.0018
1776437676,62,0.0018
1776437677,63,0.0018
1776437678,64,0.0018
1776437795,181,0.0018
1776437796,182,0.0018
1776437797,183,0.0018
1776437798,184,0.0018
1776437915,301,0.0018
1776437916,302,0.0018
1776437917,303,0.0018
1776437918,304,0.0018
1776438225,611,0.1595
1776438226,612,0.0307
1776438236,622,0.0217
1776438275,661,0.0018
1776438276,662,0.0018
1776438277,663,0.0018
1776438278,664,0.0018
1776438395,781,0.0018
1776438396,782,0.0018
1776438397,783,0.0018
1776438398,784,0.0018
1776438515,901,0.0018
1776438516,902,0.0018
1776438517,903,0.0018
1776438518,904,0.0018
1776438635,1021,0.0036
1776438636,1022,0.0036
1776438637,1023,0.0036
1776438638,1024,0.0036
1776438704,1090,0.0016
1776438705,1091,0.0031
1776438755,1141,0.0036
1776438756,1142,0.0036
1776438757,1143,0.0036
1776438758,1144,0.0036
