timestamp_sec,rel_time_s,throughput_mbps
1776084364,1,0.0028
1776084366,3,0.0028
1776084368,5,0.001
1776084384,21,0.001
1776084390,27,0.0206
1776084400,37,0.001
1776084404,41,0.001
1776084408,45,0.001
1776084419,56,0.001
1776084421,58,0.001
1776084428,65,0.001
1776084430,67,0.001
1776084443,80,0.001
1776084445,82,0.001
1776084448,85,0.001
1776084465,102,0.001
1776084467,104,0.001
1776084473,110,0.001
1776084477,114,0.001
1776084481,118,0.0249
1776084482,119,0.0031
1776084483,120,0.0018
1776084484,121,0.0018
1776084486,123,0.0018
1776084487,124,0.001
1776084522,159,0.0206
1776084523,160,0.0031
1776084528,165,0.0108
1776084544,181,0.001
1776084562,199,0.001
1776084564,201,0.001
1776084568,205,0.0108
1776084572,209,0.0031
1776084574,211,0.0128
