timestamp_sec,rel_time_s,throughput_mbps
1776091141,134,0.0073
1776091143,136,0.0021
1776091145,138,0.001
1776091153,146,0.0062
1776091155,148,0.001
1776091157,150,0.0021
1776091160,153,0.0021
1776091162,155,0.026
1776091164,157,0.0139
1776091166,159,0.0139
1776091168,161,0.001
1776091183,176,0.0062
1776091185,178,0.0021
1776091187,180,0.001
1776091189,182,0.0021
1776091198,191,0.0606
1776091200,193,0.0031
1776091202,195,0.01
1776091218,211,0.0519
1776091220,213,0.0056
1776091222,215,0.0056
1776091224,217,0.001
1776091228,221,0.0148
1776091229,222,0.0062
1776091231,224,0.0021
1776091233,226,0.0021
1776091235,228,0.0021
1776091241,234,0.0519
1776091243,236,0.001
1776091246,239,0.0056
1776091248,241,0.0158
1776091316,309,0.0073
1776091318,311,0.0021
1776091320,313,0.001
1776091324,317,0.0519
1776091326,319,0.001
1776091328,321,0.001
1776091330,323,0.001
1776091339,332,0.0062
1776091341,334,0.0021
1776091343,336,0.001
1776091345,338,0.0021
1776091351,344,0.026
1776091353,346,0.0139
1776091355,348,0.001
1776091356,349,0.0387
1776091358,351,0.0021
1776091363,356,0.0062
1776091364,357,0.001
1776091365,358,0.001
1776091367,360,0.001
1776091369,362,0.0031
1776091374,367,0.0519
1776091376,369,0.0056
1776091378,371,0.001
1776091380,373,0.001
1776091382,375,0.026
1776091383,376,0.0346
1776091385,378,0.0031
1776091387,380,0.0031
1776091389,382,0.0031
1776091392,385,0.0062
1776091394,387,0.0021
1776091396,389,0.0021
1776091398,391,0.0021
1776091402,395,0.026
1776091404,397,0.0139
1776091406,399,0.001
1776091408,401,0.001
1776091414,407,0.0062
1776091416,409,0.001
1776091418,411,0.001
1776091421,414,0.001
1776091424,417,0.0062
1776091426,419,0.0021
