timestamp_sec,rel_time_s,throughput_mbps
1776091010,2,0.001
1776091011,3,0.0261
1776091012,4,0.0086
1776091015,7,0.0294
1776091016,8,0.002
1776091021,13,0.001
1776091022,14,0.044
1776091028,20,0.0373
1776091030,22,0.001
1776091032,24,0.0065
1776091034,26,0.0537
1776091035,27,0.0014
1776091039,31,0.001
1776091041,33,0.001
1776091046,38,0.0475
1776091048,40,0.0394
1776091050,42,0.0093
1776091052,44,0.002
1776091054,46,0.03
1776091056,48,0.0051
1776091057,49,0.002
1776091058,50,0.0051
1776091059,51,0.0041
1776091062,54,0.0031
1776091063,55,0.001
1776091069,61,0.001
1776091071,63,0.001
1776091075,67,0.001
1776091076,68,0.0403
1776091077,69,0.001
1776091078,70,0.0605
1776091079,71,0.0294
1776091080,72,0.0051
1776091082,74,0.001
1776091083,75,0.002
1776091084,76,0.0028
1776091085,77,0.0038
1776091086,78,0.0018
1776091088,80,0.0512
1776091090,82,0.0065
1776091091,83,0.001
1776091092,84,0.0031
1776091094,86,0.0271
1776091095,87,0.0623
1776091097,89,0.002
1776091098,90,0.0031
1776091099,91,0.0221
1776091100,92,0.0031
1776091101,93,0.009
1776091102,94,0.002
1776091103,95,0.0491
1776091104,96,0.001
1776091105,97,0.0041
1776091106,98,0.0344
1776091108,100,0.0177
1776091110,102,0.008
1776091111,103,0.0263
1776091112,104,0.002
1776091113,105,0.001
1776091114,106,0.002
1776091115,107,0.001
1776091116,108,0.014
1776091118,110,0.0031
1776091120,112,0.0325
1776091124,116,0.0554
1776091126,118,0.0031
1776091128,120,0.001
1776091132,124,0.001
1776091137,129,0.0074
1776091138,130,0.0435
1776091139,131,0.001
1776091140,132,0.0031
1776091151,143,0.0031
1776091154,146,0.002
1776091155,147,0.0807
1776091157,149,0.0034
1776091159,151,0.0144
1776091161,153,0.0065
1776091163,155,0.0031
1776091171,163,0.001
1776091176,168,0.001
1776091177,169,0.0283
1776091179,171,0.0108
1776091181,173,0.0333
1776091182,174,0.001
1776091183,175,0.002
1776091185,177,0.0051
1776091186,178,0.0519
1776091187,179,0.006
1776091188,180,0.0031
1776091191,183,0.0444
1776091193,185,0.0034
1776091194,186,0.0128
1776091195,187,0.0416
1776091197,189,0.0054
1776091199,191,0.0099
1776091201,193,0.0583
1776091202,194,0.001
1776091203,195,0.0183
1776091204,196,0.001
1776091205,197,0.0052
1776091206,198,0.0038
1776091207,199,0.0034
1776091208,200,0.006
1776091209,201,0.0034
1776091212,204,0.0403
1776091214,206,0.0344
1776091215,207,0.0093
1776091216,208,0.0061
1776091217,209,0.0252
1776091218,210,0.0031
1776091219,211,0.0034
1776091220,212,0.0031
1776091221,213,0.0034
1776091224,216,0.0127
1776091228,220,0.001
1776091229,221,0.0648
1776091230,222,0.001
1776091231,223,0.0175
1776091232,224,0.001
1776091233,225,0.0075
1776091235,227,0.0034
1776091236,228,0.001
1776091238,230,0.0354
1776091241,233,0.0609
1776091242,234,0.0155
1776091243,235,0.0373
1776091244,236,0.0226
1776091248,240,0.0061
1776091250,242,0.0034
1776091252,244,0.0093
1776091253,245,0.0031
1776091254,246,0.0252
1776091257,249,0.0041
1776091258,250,0.0034
1776091260,252,0.0544
1776091261,253,0.001
1776091262,254,0.0103
1776091263,255,0.001
1776091265,257,0.0031
1776091267,259,0.002
1776091268,260,0.0392
1776091269,261,0.002
1776091271,263,0.0031
1776091272,264,0.0065
1776091273,265,0.0217
1776091274,266,0.002
1776091280,272,0.0041
1776091282,274,0.0041
1776091288,280,0.0762
1776091290,282,0.001
1776091292,284,0.0271
1776091294,286,0.0031
1776091301,293,0.0031
1776091302,294,0.001
1776091303,295,0.0509
1776091304,296,0.001
1776091305,297,0.0031
1776091307,299,0.0483
1776091309,301,0.001
1776091312,304,0.001
1776091314,306,0.001
1776091315,307,0.001
1776091316,308,0.0206
1776091317,309,0.0031
1776091318,310,0.0129
1776091321,313,0.0344
1776091324,316,0.0266
1776091325,317,0.0018
1776091326,318,0.0678
1776091327,319,0.0018
1776091328,320,0.0137
1776091330,322,0.007
1776091333,325,0.0054
1776091335,327,0.002
1776091338,330,0.001
1776091340,332,0.001
1776091341,333,0.0403
1776091342,334,0.002
1776091343,335,0.0155
1776091344,336,0.001
1776091348,340,0.0239
1776091349,341,0.0252
1776091350,342,0.0262
1776091352,344,0.0274
1776091353,345,0.0034
1776091355,347,0.0034
1776091356,348,0.0215
1776091357,349,0.001
1776091358,350,0.0325
1776091359,351,0.001
1776091361,353,0.002
1776091362,354,0.0124
1776091365,357,0.001
1776091366,358,0.001
1776091370,362,0.0416
1776091371,363,0.0031
1776091372,364,0.0072
1776091374,366,0.0031
1776091376,368,0.001
1776091377,369,0.0031
1776091378,370,0.001
1776091379,371,0.0416
1776091380,372,0.001
1776091381,373,0.0051
1776091383,375,0.002
1776091384,376,0.0031
1776091385,377,0.002
1776091386,378,0.0031
1776091387,379,0.0404
1776091388,380,0.0215
1776091389,381,0.0261
1776091390,382,0.0335
1776091391,383,0.0051
1776091393,385,0.0523
1776091394,386,0.0031
1776091395,387,0.007
1776091396,388,0.0435
1776091397,389,0.0031
1776091398,390,0.0039
1776091399,391,0.011
1776091400,392,0.0054
1776091401,393,0.0031
