timestamp_sec,rel_time_s,throughput_mbps
1776086190,0,0.0031
1776086199,9,0.001
1776086201,11,0.001
1776086230,40,0.0294
1776086232,42,0.0086
1776086234,44,0.002
1776086236,46,0.0076
1776086237,47,0.002
1776086239,49,0.0249
1776086240,50,0.0031
1776086250,60,0.0206
1776086251,61,0.0132
1776086252,62,0.0031
1776086261,71,0.0108
1776086266,76,0.0031
1776086268,78,0.0128
1776086274,84,0.0249
1776086282,92,0.0108
1776086283,93,0.0018
1776086284,94,0.0018
1776086287,97,0.0031
1776086299,109,0.002
1776086321,131,0.0108
1776086323,133,0.0031
1776086327,137,0.0128
1776086328,138,0.0041
1776086331,141,0.0206
1776086332,142,0.0041
1776086337,147,0.001
1776086367,177,0.0347
1776086369,179,0.002
1776086373,183,0.0161
1776086375,185,0.0231
1776086376,186,0.002
1776086378,188,0.0258
1776086379,189,0.0031
1776086382,192,0.0161
1776086384,194,0.0031
1776086386,196,0.0128
1776086387,197,0.0031
1776086389,199,0.0206
1776086390,200,0.0043
1776086399,209,0.0108
