timestamp_sec,rel_time_s,throughput_mbps
1776093160,2,0.0206
1776093162,4,0.0031
1776093173,15,0.0206
1776093174,16,0.0031
1776093179,21,0.001
1776093181,23,0.001
1776093183,25,0.002
1776093184,26,0.0022
1776093196,38,0.001
1776093207,49,0.0108
1776093217,59,0.0076
1776093219,61,0.0249
1776093222,64,0.0309
1776093226,68,0.0258
1776093232,74,0.0108
1776093244,86,0.0018
1776093245,87,0.0018
1776093246,88,0.0036
1776093251,93,0.0161
1776093252,94,0.0026
1776093256,98,0.0041
1776093258,100,0.0128
1776093269,111,0.0108
1776093274,116,0.0237
1776093286,128,0.0108
1776093287,129,0.02
1776093296,138,0.001
1776093298,140,0.001
1776093307,149,0.0108
1776093311,153,0.0031
1776093329,171,0.001
1776093346,188,0.001
1776093356,198,0.0206
1776093357,199,0.0031
1776093360,202,0.0258
1776093362,204,0.0041
1776093363,205,0.0036
1776093369,211,0.001
1776093373,215,0.001
1776093379,221,0.0161
1776093384,226,0.0171
1776093389,231,0.001
1776093402,244,0.0108
1776093407,249,0.0031
1776093409,251,0.0246
1776093419,261,0.0206
1776093424,266,0.001
1776093427,269,0.001
1776093432,274,0.0263
1776093433,275,0.0074
1776093434,276,0.002
1776093441,283,0.0258
1776093442,284,0.0031
1776093461,303,0.001
1776093466,308,0.0249
1776093468,310,0.0031
1776093475,317,0.001
1776093482,324,0.0249
1776093483,325,0.0041
1776093484,326,0.0036
1776093485,327,0.0018
1776093486,328,0.0018
1776093489,331,0.001
1776093497,339,0.001
1776093502,344,0.002
1776093510,352,0.0108
1776093511,353,0.0217
1776093521,363,0.0206
1776093522,364,0.0031
1776093524,366,0.0206
1776093525,367,0.0103
1776093530,372,0.0249
1776093539,381,0.0294
1776093540,382,0.0041
1776093542,384,0.0161
1776093544,386,0.0171
1776093550,392,0.0294
1776093552,394,0.0105
1776093556,398,0.0161
1776093561,403,0.0031
1776093566,408,0.0108
1776093571,413,0.0227
1776093573,415,0.002
1776093575,417,0.0091
