timestamp_sec,rel_time_s,throughput_mbps
1776094486,53,0.0606
1776094487,54,0.0015
1776094494,61,0.0062
1776094496,63,0.001
1776094498,65,0.001
1776094500,67,0.001
1776094518,85,0.026
1776094519,86,0.0259
1776094520,87,0.001
1776094523,90,0.0056
1776094525,92,0.0056
1776094530,97,0.0062
1776094532,99,0.001
1776094535,102,0.0021
1776094537,104,0.0031
1776094556,123,0.0519
1776094558,125,0.001
1776094560,127,0.001
1776094561,128,0.001
1776094563,130,0.026
1776094564,131,0.0259
1776094566,133,0.0144
1776094568,135,0.0085
1776094570,137,0.0031
1776094572,139,0.0031
1776094588,155,0.0606
1776094590,157,0.0031
1776094592,159,0.0031
1776094594,161,0.0085
1776094596,163,0.018
1776094597,164,0.0519
1776094599,166,0.0056
1776094601,168,0.001
1776094603,170,0.0021
1776094608,175,0.0606
1776094610,177,0.0031
1776094611,178,0.0069
1776094621,188,0.0606
1776094623,190,0.0085
1776094639,206,0.0124
1776094641,208,0.001
1776094643,210,0.001
1776094645,212,0.0021
1776094648,215,0.0124
1776094650,217,0.001
1776094652,219,0.001
1776094654,221,0.001
1776094660,227,0.0519
1776094662,229,0.001
1776094664,231,0.001
1776094666,233,0.001
1776094682,249,0.0606
1776094684,251,0.0031
1776094685,252,0.0031
1776094714,281,0.0621
1776094723,290,0.0606
1776094725,292,0.0031
1776094727,294,0.0085
1776094729,296,0.0031
1776094737,304,0.026
1776094739,306,0.0485
1776094741,308,0.0031
1776094743,310,0.0031
1776094745,312,0.01
1776094770,337,0.0062
1776094772,339,0.001
1776094774,341,0.001
1776094776,343,0.0031
1776094796,363,0.0519
1776094798,365,0.0056
1776094799,366,0.0087
1776094801,368,0.0031
1776094803,370,0.0031
1776094805,372,0.0031
1776094808,375,0.026
1776094810,377,0.001
1776094812,379,0.0398
1776094814,381,0.0158
1776094830,397,0.0621
1776094849,416,0.026
1776094850,417,0.0346
1776094852,419,0.0031
