timestamp_sec,rel_time_s,throughput_mbps
1776094433,0,0.0391
1776094437,4,0.0441
1776094440,7,0.0656
1776094442,9,0.0051
1776094443,10,0.0158
1776094445,12,0.0426
1776094447,14,0.0424
1776094448,15,0.0051
1776094449,16,0.0051
1776094451,18,0.0472
1776094452,19,0.1057
1776094453,20,0.0072
1776094454,21,0.002
1776094455,22,0.002
1776094456,23,0.0041
1776094457,24,0.002
1776094459,26,0.0515
1776094465,32,0.0108
1776094469,36,0.001
1776094470,37,0.0252
1776094472,39,0.0031
1776094473,40,0.0452
1776094477,44,0.0031
1776094478,45,0.049
1776094479,46,0.0031
1776094483,50,0.0492
1776094485,52,0.007
1776094486,53,0.0093
1776094487,54,0.0252
1776094491,58,0.0034
1776094493,60,0.049
1776094495,62,0.002
1776094497,64,0.0114
1776094499,66,0.0051
1776094500,67,0.001
1776094501,68,0.0497
1776094505,72,0.0676
1776094509,76,0.0034
1776094511,78,0.0615
1776094515,82,0.0344
1776094519,86,0.0131
1776094520,87,0.0424
1776094521,88,0.0031
1776094522,89,0.0074
1776094523,90,0.001
1776094525,92,0.002
1776094526,93,0.0031
1776094530,97,0.0216
1776094531,98,0.0436
1776094532,99,0.0076
1776094533,100,0.001
1776094535,102,0.001
1776094537,104,0.0268
1776094541,108,0.0108
1776094542,109,0.001
1776094543,110,0.0302
1776094545,112,0.0127
1776094552,119,0.0451
1776094553,120,0.0344
1776094556,123,0.0031
1776094557,124,0.0031
1776094560,127,0.0549
1776094562,129,0.0113
1776094563,130,0.0216
1776094564,131,0.0354
1776094565,132,0.0344
1776094566,133,0.002
1776094568,135,0.002
1776094572,139,0.001
1776094576,143,0.0456
1776094578,145,0.0031
1776094580,147,0.0031
1776094582,149,0.0497
1776094584,151,0.0358
1776094585,152,0.0521
1776094587,154,0.002
1776094588,155,0.0441
1776094589,156,0.002
1776094590,157,0.0145
1776094591,158,0.006
1776094592,159,0.0199
1776094594,161,0.0374
1776094596,163,0.042
1776094605,172,0.0842
1776094606,173,0.0743
1776094607,174,0.0347
1776094608,175,0.0031
1776094609,176,0.0065
1776094612,179,0.0426
1776094613,180,0.0112
1776094615,182,0.0446
1776094617,184,0.0093
1776094618,185,0.0451
1776094620,187,0.006
1776094622,189,0.0705
1776094623,190,0.0029
1776094625,192,0.0074
1776094629,196,0.001
1776094631,198,0.0416
1776094633,200,0.0354
1776094635,202,0.0041
1776094636,203,0.0232
1776094637,204,0.002
1776094638,205,0.0553
1776094639,206,0.0053
1776094643,210,0.0031
1776094644,211,0.0062
1776094648,215,0.0385
1776094649,216,0.0626
1776094650,217,0.0014
1776094657,224,0.0441
1776094659,226,0.0385
1776094660,227,0.0697
1776094661,228,0.0323
1776094662,229,0.002
1776094663,230,0.0373
1776094664,231,0.002
1776094665,232,0.0034
1776094666,233,0.002
1776094672,239,0.0252
1776094674,241,0.051
1776094675,242,0.074
1776094676,243,0.0034
1776094678,245,0.0107
1776094679,246,0.0524
1776094681,248,0.002
1776094682,249,0.0051
1776094683,250,0.0018
1776094684,251,0.0421
1776094685,252,0.0018
1776094686,253,0.0018
1776094691,258,0.0788
1776094693,260,0.0117
1776094694,261,0.0076
1776094695,262,0.0031
1776094697,264,0.0031
1776094699,266,0.0447
1776094700,267,0.039
1776094701,268,0.0031
1776094702,269,0.0041
1776094703,270,0.0479
1776094704,271,0.0128
1776094706,273,0.0031
1776094708,275,0.0031
1776094710,277,0.0461
1776094713,280,0.0488
1776094715,282,0.001
1776094719,286,0.0516
1776094720,287,0.01
1776094721,288,0.0937
1776094723,290,0.0315
1776094724,291,0.0039
1776094725,292,0.0031
1776094726,293,0.0697
1776094727,294,0.0041
1776094728,295,0.0061
1776094729,296,0.002
1776094732,299,0.002
1776094733,300,0.0451
1776094734,301,0.0404
1776094735,302,0.006
1776094736,303,0.0607
1776094737,304,0.002
1776094738,305,0.002
1776094739,306,0.002
1776094740,307,0.0534
1776094741,308,0.0429
1776094742,309,0.0074
1776094743,310,0.0471
1776094745,312,0.0672
1776094747,314,0.002
1776094750,317,0.0088
1776094757,324,0.0108
1776094759,326,0.0426
1776094760,327,0.0014
1776094761,328,0.0041
1776094763,330,0.0031
1776094764,331,0.0216
1776094765,332,0.0293
1776094769,336,0.0385
1776094771,338,0.001
1776094773,340,0.0031
1776094775,342,0.0095
1776094776,343,0.0035
1776094777,344,0.0031
1776094780,347,0.0436
1776094781,348,0.0108
1776094783,350,0.06
1776094784,351,0.002
1776094787,354,0.0074
1776094788,355,0.0035
1776094790,357,0.0034
1776094791,358,0.001
1776094792,359,0.0503
1776094793,360,0.0688
1776094794,361,0.002
1776094795,362,0.0103
1776094796,363,0.0114
1776094797,364,0.0051
1776094798,365,0.0108
1776094799,366,0.0072
1776094801,368,0.0426
1776094803,370,0.0038
1776094804,371,0.002
1776094805,372,0.0221
1776094806,373,0.0438
1776094808,375,0.0031
1776094809,376,0.0372
1776094810,377,0.0716
1776094811,378,0.0117
1776094815,382,0.0086
1776094819,386,0.0693
1776094820,387,0.0592
1776094821,388,0.0108
1776094822,389,0.0031
1776094824,391,0.0054
1776094827,394,0.0465
1776094829,396,0.0344
1776094831,398,0.0031
1776094832,399,0.0129
1776094833,400,0.001
1776094835,402,0.0969
1776094837,404,0.001
1776094839,406,0.0061
1776094841,408,0.0436
1776094845,412,0.0031
1776094846,413,0.0513
1776094848,415,0.0088
1776094849,416,0.0317
1776094850,417,0.0392
1776094851,418,0.002
