timestamp_sec,rel_time_s,throughput_mbps
1775835492,2,0.0036
1775835493,3,0.0036
1775835494,4,0.0036
1775835495,5,0.0036
1775835612,122,0.0036
1775835613,123,0.0036
1775835614,124,0.0036
1775835615,125,0.0036
1775835732,242,0.0036
1775835733,243,0.0036
1775835734,244,0.0036
1775835735,245,0.0036
1775835852,362,0.0036
1775835853,363,0.0036
1775835854,364,0.0036
1775835855,365,0.0036
1775835972,482,0.0036
1775835973,483,0.0036
1775835974,484,0.0036
1775835975,485,0.0036
1775836092,602,0.0036
1775836093,603,0.0036
1775836094,604,0.0036
1775836095,605,0.0036
1775836175,685,0.0041
1775836212,722,0.0036
1775836213,723,0.0036
1775836214,724,0.0036
1775836215,725,0.0036
1775836332,842,0.0036
1775836333,843,0.0036
1775836334,844,0.0036
1775836335,845,0.0036
