timestamp_sec,rel_time_s,throughput_mbps
1776099626,2,0.0206
1776099631,7,0.0206
1776099633,9,0.0031
1776099637,13,0.0249
1776099638,14,0.0031
1776099641,17,0.0108
1776099643,19,0.0128
1776099644,20,0.0031
1776099655,31,0.001
1776099664,40,0.001
1776099666,42,0.001
1776099668,44,0.001
1776099672,48,0.0108
1776099674,50,0.0235
1776099675,51,0.0031
1776099676,52,0.0018
1776099677,53,0.0018
1776099680,56,0.001
1776099682,58,0.001
1776099688,64,0.001
1776099690,66,0.001
1776099692,68,0.001
1776099696,72,0.0206
1776099698,74,0.0031
1776099700,76,0.0108
1776099701,77,0.0097
1776099706,82,0.001
1776099708,84,0.001
1776099711,87,0.001
1776099714,90,0.0294
1776099715,91,0.002
1776099719,95,0.0108
1776099722,98,0.0031
1776099726,102,0.0128
1776099728,104,0.0031
1776099732,108,0.0241
1776099733,109,0.0095
1776099737,113,0.001
1776099739,115,0.001
1776099741,117,0.001
1776099747,123,0.001
1776099749,125,0.002
1776099751,127,0.001
1776099755,131,0.0108
1776099757,133,0.0031
1776099759,135,0.0128
1776099767,143,0.001
1776099769,145,0.001
1776099775,151,0.001
1776099777,153,0.001
1776099779,155,0.001
1776099785,161,0.001
1776099787,163,0.001
1776099789,165,0.001
1776099794,170,0.0036
1776099795,171,0.0028
1776099796,172,0.0018
1776099797,173,0.0028
1776099799,175,0.001
1776099802,178,0.0206
1776099803,179,0.0109
1776099807,183,0.001
1776099809,185,0.001
1776099815,191,0.0325
1776099819,195,0.001
1776099821,197,0.001
1776099823,199,0.001
1776099827,203,0.0206
1776099832,208,0.001
1776099835,211,0.001
1776099837,213,0.001
1776099840,216,0.0108
1776099842,218,0.0031
1776099845,221,0.0237
1776099849,225,0.001
1776099851,227,0.001
1776099857,233,0.0108
1776099859,235,0.0128
1776099860,236,0.0031
1776099867,243,0.001
1776099869,245,0.001
1776099875,251,0.001
1776099877,253,0.001
1776099879,255,0.001
1776099885,261,0.001
1776099887,263,0.001
1776099889,265,0.001
1776099895,271,0.001
1776099897,273,0.001
1776099899,275,0.001
1776099903,279,0.0294
1776099904,280,0.0031
1776099905,281,0.0206
1776099909,285,0.0108
1776099911,287,0.0217
1776099912,288,0.0031
1776099913,289,0.0206
1776099914,290,0.0018
1776099915,291,0.0018
1776099916,292,0.0018
1776099917,293,0.0018
1776099921,297,0.001
1776099923,299,0.001
1776099927,303,0.0309
1776099931,307,0.001
1776099933,309,0.001
1776099935,311,0.001
1776099939,315,0.0206
1776099940,316,0.0031
1776099945,321,0.001
1776099947,323,0.001
1776099949,325,0.001
1776099952,328,0.0108
1776099955,331,0.0248
1776099957,333,0.0361
1776099963,339,0.001
1776099965,341,0.001
1776099967,343,0.001
1776099973,349,0.001
1776099975,351,0.001
1776099981,357,0.0108
1776099983,359,0.0128
1776099989,365,0.001
1776099993,369,0.001
1776099999,375,0.001
1776100001,377,0.001
1776100003,379,0.001
1776100007,383,0.001
1776100010,386,0.001
1776100012,388,0.002
1776100015,391,0.0206
1776100019,395,0.022
1776100020,396,0.0095
1776100022,398,0.0347
1776100023,399,0.0031
1776100024,400,0.0206
1776100025,401,0.0089
1776100026,402,0.0031
1776100027,403,0.0108
1776100029,405,0.0128
1776100031,407,0.0031
1776100034,410,0.0018
1776100035,411,0.0018
1776100036,412,0.0028
1776100037,413,0.0018
1776100038,414,0.001
1776100040,416,0.001
