timestamp_sec,rel_time_s,throughput_mbps
1776100190,80,0.0073
1776100192,82,0.0021
1776100194,84,0.0021
1776100200,90,0.0062
1776100202,92,0.0021
1776100204,94,0.0021
1776100206,96,0.0021
1776100215,105,0.0062
1776100217,107,0.0021
1776100219,109,0.001
1776100221,111,0.0021
1776100224,114,0.0062
1776100226,116,0.0021
1776100229,119,0.0021
1776100231,121,0.0021
1776100233,123,0.0062
1776100235,125,0.0021
1776100237,127,0.0021
1776100239,129,0.0021
1776100243,133,0.0519
1776100245,135,0.0144
1776100247,137,0.0031
1776100248,138,0.0031
1776100249,139,0.0062
1776100251,141,0.0021
1776100253,143,0.0021
1776100255,145,0.0021
1776100266,156,0.0062
1776100268,158,0.001
1776100270,160,0.001
1776100272,162,0.001
1776100276,166,0.0062
1776100278,168,0.001
1776100280,170,0.0021
1776100282,172,0.0021
1776100288,178,0.0062
1776100290,180,0.0021
1776100292,182,0.0021
1776100294,184,0.001
1776100303,193,0.0062
1776100305,195,0.0021
1776100307,197,0.0021
1776100309,199,0.001
1776100315,205,0.0519
1776100318,208,0.001
1776100320,210,0.0056
1776100322,212,0.001
1776100325,215,0.0148
1776100327,217,0.0062
1776100329,219,0.001
1776100331,221,0.0021
1776100333,223,0.001
1776100339,229,0.0357
1776100340,230,0.0161
1776100342,232,0.0056
1776100344,234,0.001
1776100346,236,0.001
1776100351,241,0.0519
1776100353,243,0.001
1776100355,245,0.0056
1776100357,247,0.0042
1776100360,250,0.0062
1776100362,252,0.001
1776100364,254,0.0021
1776100366,256,0.0021
1776100375,265,0.0519
1776100377,267,0.0056
1776100379,269,0.001
1776100381,271,0.001
1776100387,277,0.0062
1776100389,279,0.0021
1776100391,281,0.0021
1776100393,283,0.0021
1776100398,288,0.0062
1776100400,290,0.0021
1776100402,292,0.001
1776100405,295,0.0021
1776100408,298,0.0062
1776100410,300,0.001
1776100412,302,0.001
1776100414,304,0.001
1776100418,308,0.0519
1776100420,310,0.001
1776100422,312,0.0056
1776100425,315,0.001
1776100433,323,0.0062
1776100435,325,0.0021
1776100437,327,0.001
1776100440,330,0.001
1776100446,336,0.0519
1776100448,338,0.001
1776100450,340,0.001
1776100452,342,0.001
1776100461,351,0.0519
1776100463,353,0.001
1776100465,355,0.001
1776100467,357,0.001
1776100473,363,0.0062
1776100475,365,0.0021
1776100477,367,0.0021
1776100479,369,0.0021
1776100486,376,0.0062
1776100488,378,0.001
1776100490,380,0.001
1776100492,382,0.001
1776100506,396,0.0062
1776100508,398,0.0021
1776100510,400,0.0021
1776100512,402,0.0021
1776100518,408,0.0062
1776100520,410,0.001
1776100523,413,0.001
1776100525,415,0.0031
