timestamp_sec,rel_time_s,throughput_mbps
1776100114,3,0.0108
1776100121,10,0.0041
1776100126,15,0.001
1776100128,17,0.001
1776100129,18,0.051
1776100130,19,0.001
1776100134,23,0.0108
1776100136,25,0.0159
1776100139,28,0.0403
1776100141,30,0.0041
1776100142,31,0.001
1776100143,32,0.001
1776100145,34,0.0385
1776100147,36,0.0031
1776100148,37,0.0716
1776100150,39,0.0031
1776100152,41,0.0031
1776100154,43,0.0121
1776100155,44,0.0513
1776100156,45,0.0038
1776100157,46,0.0056
1776100159,48,0.008
1776100161,50,0.0041
1776100165,54,0.0486
1776100167,56,0.0031
1776100169,58,0.009
1776100171,60,0.0108
1776100172,61,0.002
1776100173,62,0.0373
1776100174,63,0.001
1776100175,64,0.0162
1776100177,66,0.0065
1776100178,67,0.0031
1776100179,68,0.0034
1776100180,69,0.0031
1776100181,70,0.0161
1776100182,71,0.001
1776100183,72,0.0124
1776100184,73,0.0041
1776100185,74,0.0031
1776100186,75,0.0293
1776100187,76,0.0031
1776100188,77,0.0261
1776100189,78,0.001
1776100190,79,0.0461
1776100191,80,0.0216
1776100193,82,0.0031
1776100194,83,0.0031
1776100197,86,0.001
1776100199,88,0.002
1776100200,89,0.0031
1776100201,90,0.001
1776100203,92,0.0475
1776100205,94,0.0129
1776100206,95,0.052
1776100208,97,0.0041
1776100210,99,0.0031
1776100211,100,0.0293
1776100212,101,0.0031
1776100213,102,0.001
1776100214,103,0.0161
1776100216,105,0.0171
1776100217,106,0.001
1776100218,107,0.0031
1776100220,109,0.0171
1776100223,112,0.0041
1776100224,113,0.0031
1776100225,114,0.001
1776100226,115,0.0325
1776100232,121,0.002
1776100234,123,0.001
1776100235,124,0.0283
1776100236,125,0.001
1776100237,126,0.0034
1776100239,128,0.0739
1776100240,129,0.0344
1776100241,130,0.0031
1776100242,131,0.0103
1776100243,132,0.001
1776100244,133,0.0041
1776100248,137,0.001
1776100250,139,0.001
1776100251,140,0.0434
1776100252,141,0.001
1776100253,142,0.0293
1776100255,144,0.001
1776100258,147,0.0031
1776100259,148,0.0034
1776100262,151,0.001
1776100263,152,0.0434
1776100265,154,0.0173
1776100267,156,0.0551
1776100269,158,0.0051
1776100270,159,0.0108
1776100271,160,0.002
1776100273,162,0.0149
1776100274,163,0.0049
1776100275,164,0.0115
1776100276,165,0.0018
1776100277,166,0.0263
1776100278,167,0.0338
1776100279,168,0.0065
1776100281,170,0.0468
1776100283,172,0.0075
1776100285,174,0.001
1776100287,176,0.0138
1776100289,178,0.001
1776100292,181,0.049
1776100293,182,0.0072
1776100295,184,0.0031
1776100297,186,0.0031
1776100299,188,0.0074
1776100300,189,0.0108
1776100302,191,0.0138
1776100303,192,0.0031
1776100304,193,0.001
1776100311,200,0.0161
1776100312,201,0.0344
1776100313,202,0.0128
1776100316,205,0.0031
1776100319,208,0.001
1776100322,211,0.0086
1776100323,212,0.001
1776100327,216,0.0206
1776100328,217,0.001
1776100329,218,0.0031
1776100336,225,0.0406
1776100338,227,0.0031
1776100345,234,0.001
1776100348,237,0.0344
1776100352,241,0.0031
1776100354,243,0.0031
1776100356,245,0.001
1776100360,249,0.001
1776100363,252,0.001
1776100371,260,0.0197
1776100372,261,0.0244
1776100373,262,0.0041
1776100381,270,0.001
1776100386,275,0.001
1776100388,277,0.001
1776100394,283,0.0018
1776100395,284,0.0036
1776100396,285,0.0018
1776100397,286,0.001
1776100401,290,0.001
1776100415,304,0.0441
1776100419,308,0.0031
1776100421,310,0.0161
1776100423,312,0.0031
1776100425,314,0.0031
1776100432,321,0.002
1776100435,324,0.001
1776100437,326,0.001
1776100443,332,0.0344
1776100445,334,0.001
1776100447,336,0.001
1776100452,341,0.0021
1776100454,343,0.001
1776100457,346,0.001
1776100458,347,0.0344
1776100460,349,0.0108
1776100464,353,0.0031
1776100466,355,0.0031
1776100467,356,0.0128
1776100472,361,0.001
1776100474,363,0.001
1776100476,365,0.001
1776100497,386,0.001
1776100505,394,0.001
1776100507,396,0.001
1776100509,398,0.001
1776100510,399,0.0294
1776100512,401,0.002
1776100514,403,0.0126
1776100515,404,0.0018
1776100516,405,0.0041
1776100517,406,0.0018
1776100520,409,0.0252
1776100521,410,0.001
1776100522,411,0.0034
1776100526,415,0.001
1776100528,417,0.001
