timestamp_sec,rel_time_s,throughput_mbps
1776100594,0,1.1858
1776100595,1,1.2119
1776100596,2,1.216
1776100597,3,1.2119
1776100598,4,1.218
1776100599,5,1.214
1776100600,6,1.2191
1776100601,7,1.2124
1776100602,8,1.2191
1776100603,9,1.217
1776100604,10,1.217
1776100605,11,1.2134
1776100606,12,1.2196
1776100607,13,1.2114
1776100608,14,1.2201
1776100609,15,1.2155
1776100610,16,1.2191
1776100611,17,1.2155
1776100612,18,1.217
1776100613,19,1.2104
1776100614,20,1.2191
1776100615,21,1.216
1776100616,22,1.2155
1776100617,23,1.2145
1776100618,24,1.2155
1776100619,25,1.2129
1776100620,26,1.2186
1776100621,27,1.2093
1776100622,28,1.2134
1776100623,29,1.2186
1776100624,30,1.216
1776100625,31,1.2175
1776100626,32,1.2129
1776100627,33,1.2124
1776100628,34,1.2201
1776100629,35,1.2129
1776100630,36,1.2134
1776100631,37,1.2186
1776100632,38,1.2165
1776100633,39,1.2124
1776100634,40,1.2209
1776100635,41,1.2162
1776100636,42,1.2203
1776100637,43,1.215
1776100638,44,1.2145
1776100639,45,1.215
1776100640,46,1.218
1776100641,47,1.2145
1776100642,48,1.2186
1776100643,49,1.2083
1776100644,50,1.217
1776100645,51,1.2191
1776100646,52,1.2165
1776100647,53,1.2129
1776100648,54,1.2175
1776100649,55,1.2145
1776100650,56,1.218
1776100651,57,1.2145
1776100652,58,1.2175
1776100653,59,1.217
1776100654,60,1.216
1776100655,61,1.2134
1776100656,62,1.2175
1776100657,63,1.2145
1776100658,64,1.217
1776100659,65,1.2099
1776100660,66,1.217
1776100661,67,1.2129
1776100662,68,1.2093
1776100663,69,1.217
1776100664,70,1.215
1776100665,71,1.2124
1776100666,72,1.2155
1776100667,73,1.2119
1776100668,74,1.2186
1776100669,75,1.2175
1776100670,76,1.216
1776100671,77,1.2124
1776100672,78,1.2191
1776100673,79,1.217
1776100674,80,1.2175
1776100675,81,1.2145
1776100676,82,1.2186
1776100677,83,1.214
1776100678,84,1.218
1776100679,85,1.2165
1776100680,86,1.216
1776100681,87,1.2099
1776100682,88,1.2201
1776100683,89,1.2186
1776100684,90,1.217
1776100685,91,1.216
1776100686,92,1.2119
1776100687,93,1.2119
1776100688,94,1.217
1776100689,95,1.2093
1776100690,96,1.215
1776100691,97,1.216
1776100692,98,1.2165
1776100693,99,1.2129
1776100694,100,1.217
1776100695,101,1.214
1776100696,102,1.2145
1776100697,103,1.2099
1776100698,104,1.2155
1776100699,105,1.214
1776100700,106,1.216
1776100701,107,1.215
1776100702,108,1.2175
1776100703,109,1.2145
1776100704,110,1.2211
1776100705,111,1.2134
1776100706,112,1.214
1776100707,113,1.214
1776100708,114,1.214
1776100709,115,1.2175
1776100710,116,1.2109
1776100711,117,1.2134
1776100712,118,1.2175
1776100713,119,1.2104
1776100714,120,1.2129
1776100715,121,1.2134
1776100716,122,1.2175
1776100717,123,1.2145
1776100718,124,1.2165
1776100719,125,1.2119
1776100720,126,1.2216
1776100721,127,1.2145
1776100722,128,1.2211
1776100723,129,1.2211
1776100724,130,1.2191
1776100725,131,1.215
1776100726,132,1.2191
1776100727,133,1.2124
1776100728,134,1.2211
1776100729,135,1.216
1776100730,136,1.2186
1776100731,137,1.2129
1776100732,138,1.215
1776100733,139,1.215
1776100734,140,1.2186
1776100735,141,1.2129
1776100736,142,1.2186
1776100737,143,1.2119
1776100738,144,1.2191
1776100739,145,1.2134
1776100740,146,1.2124
1776100741,147,1.2175
1776100742,148,1.2175
1776100743,149,1.2119
1776100744,150,1.215
1776100745,151,1.2129
1776100746,152,1.2129
1776100747,153,1.2124
1776100748,154,1.218
1776100749,155,1.2145
1776100750,156,1.2211
1776100751,157,1.2099
1776100752,158,1.2165
1776100753,159,1.218
1776100754,160,1.2157
1776100755,161,1.2214
1776100756,162,1.2162
1776100757,163,1.2191
1776100758,164,1.2165
1776100759,165,1.2134
1776100760,166,1.218
1776100761,167,1.2145
1776100762,168,1.217
1776100763,169,1.2114
1776100764,170,1.2196
1776100765,171,1.2114
1776100766,172,1.217
1776100767,173,1.215
1776100768,174,1.2216
1776100769,175,1.2134
1776100770,176,1.215
1776100771,177,1.2134
1776100772,178,1.215
1776100773,179,1.2114
1776100774,180,1.218
1776100775,181,1.2196
1776100776,182,1.2175
1776100777,183,1.2119
1776100778,184,1.2175
1776100779,185,1.214
1776100780,186,1.217
1776100781,187,1.2088
1776100782,188,1.216
1776100783,189,1.2129
1776100784,190,1.2196
1776100785,191,1.215
1776100786,192,1.2114
1776100787,193,1.2124
1776100788,194,1.2186
1776100789,195,1.2175
1776100790,196,1.217
1776100791,197,1.2155
1776100792,198,1.216
1776100793,199,1.2186
1776100794,200,1.2191
1776100795,201,1.2134
1776100796,202,1.2191
1776100797,203,1.2109
1776100798,204,1.2186
1776100799,205,1.2134
1776100800,206,1.215
1776100801,207,1.214
1776100802,208,1.2186
1776100803,209,1.216
1776100804,210,1.218
1776100805,211,1.2155
1776100806,212,1.2191
1776100807,213,1.216
1776100808,214,1.2186
1776100809,215,1.217
1776100810,216,1.2186
1776100811,217,1.2124
1776100812,218,1.2211
1776100813,219,1.214
1776100814,220,1.2175
1776100815,221,1.217
1776100816,222,1.214
1776100817,223,1.2109
1776100818,224,1.218
1776100819,225,1.214
1776100820,226,1.2186
1776100821,227,1.2145
1776100822,228,1.2175
1776100823,229,1.216
1776100824,230,1.2155
1776100825,231,1.215
1776100826,232,1.2145
1776100827,233,1.2119
1776100828,234,1.216
1776100829,235,1.2129
1776100830,236,1.2114
1776100831,237,1.214
1776100832,238,1.2093
1776100833,239,1.214
1776100834,240,1.2206
1776100835,241,1.2109
1776100836,242,1.2134
1776100837,243,1.2165
1776100838,244,1.2129
1776100839,245,1.2124
1776100840,246,1.2186
1776100841,247,1.214
1776100842,248,1.2191
1776100843,249,1.2145
1776100844,250,1.2186
1776100845,251,1.2165
1776100846,252,1.215
1776100847,253,1.2088
1776100848,254,1.2186
1776100849,255,1.2088
1776100850,256,1.2186
1776100851,257,1.2114
1776100852,258,1.216
1776100853,259,1.2129
1776100854,260,1.217
1776100855,261,1.2099
1776100856,262,1.216
1776100857,263,1.2099
1776100858,264,1.2165
1776100859,265,1.2109
1776100860,266,1.2175
1776100861,267,1.2129
1776100862,268,1.215
1776100863,269,1.2165
1776100864,270,1.217
1776100865,271,1.2099
1776100866,272,1.215
1776100867,273,1.2124
1776100868,274,1.2165
1776100869,275,1.216
1776100870,276,1.2165
1776100871,277,1.215
1776100872,278,1.2165
1776100873,279,1.2145
1776100874,280,1.217
1776100875,281,1.2137
1776100876,282,1.2203
1776100877,283,1.2168
1776100878,284,1.214
1776100879,285,1.215
1776100880,286,1.2191
1776100881,287,1.2145
1776100882,288,1.2196
1776100883,289,1.2155
1776100884,290,1.2165
1776100885,291,1.2155
1776100886,292,1.2155
1776100887,293,1.2119
1776100888,294,1.2191
1776100889,295,1.216
1776100890,296,1.218
1776100891,297,1.2165
1776100892,298,1.2134
1776100893,299,1.2155
1776100894,300,1.217
1776100895,301,1.2099
1776100896,302,1.2175
1776100897,303,1.214
1776100898,304,1.2206
1776100899,305,1.2083
1776100900,306,1.2155
1776100901,307,1.2124
1776100902,308,1.2165
1776100903,309,1.2109
1776100904,310,1.2186
1776100905,311,1.2145
1776100906,312,1.2119
1776100907,313,1.2114
1776100908,314,1.2145
1776100909,315,1.218
1776100910,316,1.2186
1776100911,317,1.2134
1776100912,318,1.2155
1776100913,319,1.216
1776100914,320,1.214
1776100915,321,1.2124
1776100916,322,1.214
1776100917,323,1.2088
1776100918,324,1.2155
1776100919,325,1.2129
1776100920,326,1.2145
1776100921,327,1.2145
1776100922,328,1.2124
1776100923,329,1.2134
1776100924,330,1.2119
1776100925,331,1.215
1776100926,332,1.218
1776100927,333,1.2099
1776100928,334,1.2165
1776100929,335,1.2155
1776100930,336,1.2134
1776100931,337,1.2114
1776100932,338,1.214
1776100933,339,1.2124
1776100934,340,1.2165
1776100935,341,1.2104
1776100936,342,1.215
1776100937,343,1.2145
1776100938,344,1.2119
1776100939,345,1.2109
1776100940,346,1.2165
1776100941,347,1.2099
1776100942,348,1.2119
1776100943,349,1.214
1776100944,350,1.2129
1776100945,351,1.2093
1776100946,352,1.2119
1776100947,353,1.2104
1776100948,354,1.218
1776100949,355,1.2145
1776100950,356,1.215
1776100951,357,1.2145
1776100952,358,1.2109
1776100953,359,1.214
1776100954,360,1.214
1776100955,361,1.2099
1776100956,362,1.2165
1776100957,363,1.2114
1776100958,364,1.2134
1776100959,365,1.2134
1776100960,366,1.2124
1776100961,367,1.215
1776100962,368,1.2109
1776100963,369,1.2129
1776100964,370,1.2206
1776100965,371,1.2093
1776100966,372,1.2119
1776100967,373,1.2145
1776100968,374,1.215
1776100969,375,1.2124
