timestamp_sec,rel_time_s,throughput_mbps
1776096314,23,0.0036
1776096315,24,0.0036
1776096316,25,0.0036
1776096317,26,0.0036
1776096374,83,0.004
1776096375,84,0.004
1776096376,85,0.0016
1776096434,143,0.0036
1776096435,144,0.0036
1776096436,145,0.0036
1776096437,146,0.0036
1776096554,263,0.0036
1776096555,264,0.0036
1776096556,265,0.0036
1776096557,266,0.0036
1776096674,383,0.0036
1776096675,384,0.0036
1776096676,385,0.0036
1776096677,386,0.0036
1776096794,503,0.0036
1776096795,504,0.0036
1776096796,505,0.0036
1776096797,506,0.0036
