timestamp_sec,rel_time_s,throughput_mbps
1775749371,94,0.0055
1775749375,98,0.0055
1775749381,104,0.0055
1775749395,118,0.0055
1775749398,121,0.0055
1775749400,123,0.0055
1775749407,130,0.0055
1775749413,136,0.0055
1775749424,147,0.0055
1775749425,148,0.0055
1775749436,159,0.0055
1775749449,172,0.0055
1775749671,394,0.0055
1775749677,400,0.0055
1775749687,410,0.0055
1775749698,421,0.0055
1775749708,431,0.0055
1775749730,453,0.0055
1775749823,546,0.0041
1775749899,622,0.0055
1775749902,625,0.0055
1775749904,627,0.0055
1775749907,630,0.0055
1775749912,635,0.0055
1775749916,639,0.0055
1775749924,647,0.0055
1775749935,658,0.0055
1775749944,667,0.0055
1775749949,672,0.0055
1775749953,676,0.0055
1775749962,685,0.0055
1775750121,844,0.0055
1775750123,846,0.0055
1775750130,853,0.0055
1775750144,867,0.0055
1775750162,885,0.0055
